Institution,Country/territory
University of Engineering and Technology - Lahore (UET Lahore),Pakistan
National University of Medical Sciences (NUMS),Pakistan
Hazara University,Pakistan
Islamabad Model College for Boys (IMCB),Pakistan
University of Gujrat (UOG),Pakistan
DHA Suffa University (DSU),Pakistan
Nur International University,Pakistan
Center for Non-Communicable Diseases (CNCD),Pakistan
Dow University of Health Sciences (DUHS),Pakistan
"Abdul Wali Khan University, Mardan (AWKUM)",Pakistan
Foundation University Islamabad (FUI),Pakistan
University of Lahore (UOL),Pakistan
non-affiliated author contributions,Pakistan
Ziauddin University,Pakistan
Fatima Memorial Hospital (FMH),Pakistan
Air University,Pakistan
Faisalabad Institute of Cardiology,Pakistan
Afro-Asian Institute (AAI),Pakistan
Institute of Mother and Child Care in the city Multan,Pakistan
"Children Hospital and Institute of Child Health, Multan",Pakistan
University of Veterinary and Animal Sciences - Lahore (UVAS),Pakistan
Al-Shifa Trust Eye Hospital,Pakistan
Coral Reef Research Foundation (CRRF),Palau
Palau International Coral Reef Center (PICRC),Palau
Birzeit University,Palestinian territories
Al-Quds University,Palestinian territories
Bethlehem University,Palestinian territories
Al Makassed Islamic Charitable Society Hospital,Palestinian territories
Palestinian Medical Complex,Palestinian territories
An-Najah National University,Palestinian territories
University of Panama,Panama
The Gorgas Memorial Institute for Health Studies (GMI),Panama
Coiba Scientific Station (COIBA AIP),Panama
Autonomous University of Chiriqui (UNACHI),Panama
Patronato Panamá Viejo,Panama
"Secretaría Nacional de Ciencia, Tecnología e Innovación (SENACYT)",Panama
Institute for Scientific Research and High Technology Services (INDICASAT-AIP),Panama
Vaxtrials S.A.,Panama
Ministry of Health of Panama (MINSA),Panama
Institute of Medical Sciences (ICM),Panama
The New Guinea Binatang Research Center,Papua New Guinea
University of Papua New Guinea (UPNG),Papua New Guinea
Papua New Guinea National Museum and Art Gallery (NMAG),Papua New Guinea
Lihir Medical Centre,Papua New Guinea
non-affiliated author contributions,Papua New Guinea
University of Goroka,Papua New Guinea
Consejo Nacional de Ciencia y Tecnología (CONACYT),Paraguay
Universidad Nacional de Asuncion (UNA),Paraguay
Insituto Saite,Paraguay
Guyra Paraguay,Paraguay
Parque Ecológico La Asunción,Paraguay
Paraguay Ministry of Public Health and Social Welfare (MSPBS),Paraguay
Pontifical Catholic University of Peru (PUCP),Peru
Cayetano Heredia University (UPCH),Peru
National University of San Antonio Abad in Cuzco (UNSAAC),Peru
Instituto del Mar del Perú (IMARPE),Peru
National University of San Marcos (UNMSM),Peru
Pro Delphinus,Peru
Peru Ministry of Health (MINSA),Peru
Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña (INAIGEM),Peru
Asociación Civil Impacta Salud y Educación,Peru
Universidad Continental,Peru
Peruvian University of Applied Sciences (UPC),Peru
Universidad Nacional de la Amazonía Peruana (UNAP),Peru
Minsur S.A.,Peru
Ministerio del Ambiente (MINAM),Peru
Instituto del Bien Común (IBC),Peru
Instituto Nacional de Salud (INS),Peru
Instituto de Investigaciones de la Amazonía Peruana (IIAP),Peru
Catholic University of Santa María,Peru
National University of Engineering (UNI),Peru
Servicio Nacional de Meteorología e Hidrología del Perú (Senamhi),Peru
Intelfin Estudios y Consultoria S.A.C.,Peru
Instituto Geográfico Nacional del Perú (IGN),Peru
Universidad Científica del Perú (UCP),Peru
Universidad Privada San Juan Bautista (UPSJB),Peru
Center for the Development of the Amazonian Indigenous (CEDIA),Peru
Center for Conservation Research and Management of Protected Areas (CIMA),Peru
Universidad Nacional de Piura,Peru
Instituto de Investigación en Ecología y Conservación (IIECOO),Peru
Jardín Botánico de Missouri (JBM),Peru
Edgardo Rebagliati Martins National Hospital,Peru
National University of Saint Augustine (UNSA),Peru
University of Engineering and Technology (UTEC),Peru
Jorge Basadre Grohmann National University (UNJBG),Peru
SPL Operaciones Botánicos Peruanos SCRL,Peru
Autoridad Regional Ambiental Loreto (ARA L.),Peru
Naturaleza y Cultura Internacional,Peru
Centro de Ornitología y Biodiversidad (Corbidi),Peru
National University of the Center of Peru (UNCP),Peru
Centro Peruano para la Biodiversidad y Conservación,Peru
Universidad de Huánuco (UDH),Peru
Instituto Nacional de Innovación Agraria (INIA),Peru
National Agrarian University (UNALM),Peru
Universidad Nacional Intercultural de la Amazonía (UNIA),Peru
Museo de Sitio Huaca Pucllana,Peru
Redes Peru,Peru
University of the Philippines Diliman (UPD),Philippines
International Rice Research Institute (IRRI),Philippines
National Research Council of the Philippines (NRCP),Philippines
University of Science and Technology of Southern Philippines (USTP),Philippines
National Museum of the Philippines,Philippines
Cordillera Exploration Company Incorporated.,Philippines
University of the Philippines Los Baños (UPLB),Philippines
University of the Philippines Manila (UPM),Philippines
Manila Observatory,Philippines
Visayas State University (VSU),Philippines
"Pontifical and Royal University of Santo Tomas, The Catholic University of the Philippines (UST)",Philippines
University of the Philippines Mindanao (UP Mindanao),Philippines
Ateneo de Manila University (AMU),Philippines
University of San Carlos (USC),Philippines
Iligan Institute of Technology of the Mindanao State University (MSU-IIT),Philippines
Chong Hua Hospital,Philippines
University of the Philippines Visayas (UPV),Philippines
National Commission for Culture and the Arts (NCCA),Philippines
Jose R. Reyes Memorial Medical Center (JRRMMC),Philippines
Makati Medical Center,Philippines
Dumendingan Arts Guild Inc.,Philippines
Ayta Magbukon Indigenous Cultural Community,Philippines
Xavier University,Philippines
"Tarbilang Foundation, Inc.",Philippines
National Commission on Indigenous Peoples (NCIP),Philippines
Indigenous People's Mandatory Representative-Sangguniang Panlalawigan,Philippines
Negros Museum,Philippines
Talaandig Indigenous Cultural Community,Philippines
Surigaonon Heritage Center,Philippines
Cagayan State University,Philippines
Balangao Indigenous Cultural Community,Philippines
Department of Education Division of Bataan,Philippines
Mindanao State University,Philippines
Mindanao Doctors Hospital and Cancer Center Inc.,Philippines
Quirino State University,Philippines
Biliran Province State University (BiPSU),Philippines
José Rizal University,Philippines
"Nisa Ul Haqq fi Bangsamoro, Inc.",Philippines
Young Indigenous Peoples Empowered to Act in Community Engagement,Philippines
Provincial Government of Sarangani,Philippines
Subanen Indigenous Cultural Community,Philippines
Ateneo de Davao University,Philippines
Museo Dabawenyo,Philippines
"Kaliwat Performing Artists Collective, Inc.",Philippines
Butuan City Government,Philippines
Tagakaulo Indigenous Cultural Community,Philippines
"Kabankalan City Cultural and Tourism Foundation, Inc.",Philippines
Cuyonon Indigenous Cultural Community,Philippines
Agusan Manobo Indigenous Cultural Community,Philippines
Kalanguya Indigenous Cultural Community,Philippines
City Museum Of Cagayan de Oro,Philippines
Ifugao State University,Philippines
"Colegio San Agustin, Bacolod",Philippines
"Panaghiusa Alang Sa Kaugalingnan Ug Kalingkawasan, Inc.",Philippines
Panay Eco-Social Conservation Project (PanayCon),Philippines
Southern Leyte State University (SLSU),Philippines
Cavite State University,Philippines
De La Salle University (DLSU),Philippines
Philippine Institute for Development Studies (PIDS),Philippines
"Alliance for Improving Health Outcomes, Inc.",Philippines
Polish Academy of Sciences (PAS),Poland
University of Warsaw (UW),Poland
Jagiellonian University (UJ),Poland
Adam Mickiewicz University in Poznań (AMU),Poland
University of Wrocław (UWr),Poland
Wrocław University of Science and Technology (WRUT),Poland
National Centre for Nuclear Research (NCBJ),Poland
AGH University of Science and Technology (AGH UST),Poland
Nicolaus Copernicus University in Toruń (NCU),Poland
University of Silesia (US),Poland
Lodz University of Technology (TUL),Poland
Warsaw University of Technology (WUT),Poland
University of Gdańsk (UG),Poland
Gdańsk University of Technology (GUT),Poland
University of Lodz (UL),Poland
Silesian University of Technology (SUT),Poland
Medical University of Gdańsk (MUG),Poland
Wrocław University of Environmental and Life Sciences,Poland
University of Białystok (UWB),Poland
University of Szczecin (USZ),Poland
University of Zielona Góra (UZ),Poland
Poznan University of Technology (PUT),Poland
International Institute of Molecular and Cell Biology (IIMCB),Poland
Wroclaw Medical University,Poland
University of Social Sciences and Humanities (SWPS),Poland
Maria Curie-Skłodowska University (UMCS),Poland
Saule Technologies Ltd.,Poland
Maria Skłodowska Curie Memorial Cancer Centre and Institute of Oncology (MCMCC),Poland
National Research Institute (PIB),Poland
Siedlce University of Natural Sciences and Humanities,Poland
Tadeusz Kościuszko Cracow University of Technology (CUT),Poland
Medical University of Lublin,Poland
Poznan University of Medical Sciences (PUMS),Poland
Medical University of Warsaw (MUW),Poland
Rzeszów University of Technology,Poland
Warsaw University of Life Sciences (SGGW),Poland
Synthex Technologies Sp. z o.o.,Poland
West Pomeranian University of Technology (ZUT),Poland
Institute of Hematology and Transfusion Medicine (IHT),Poland
Photo HiTech Ltd.,Poland
The Jan Kochanowski University in Kielce (UJK),Poland
University of Agriculture in Krakow,Poland
Polish Center for Technology Development (PORT),Poland
Institute of Nuclear Chemistry and Technology (INCT),Poland
non-affiliated author contributions,Poland
Medical University of Białystok (UMB),Poland
Military University of Technology,Poland
Poznan Science and Technology Park of Adam Mickiewicz University Foundation (PPNT),Poland
University of Rzeszów,Poland
Opole University,Poland
Postgraduate School of Molecular Medicine (SMM),Poland
Saule Research Institute (SRI),Poland
Ryvu Therapeutics SA,Poland
Poznań University of Life Sciences (PULS),Poland
National Marine Fisheries Research Institute (NMFRI),Poland
Medical Centre of Postgraduate Education (CMKP),Poland
ProChimia Surfaces Sp. z o.o.,Poland
Medical University of Lodz (MUL),Poland
Forest Research Institute (IBL),Poland
TriMen Chemicals,Poland
Children's Memorial Health Institute (CMHI),Poland
National Institute of Cardiology,Poland
Copernicus Center for Interdisciplinary Studies,Poland
Maria Grzegorzewska University (APS),Poland
Społeczna Akademia Nauk,Poland
Institute of Natural Fibres and Medicinal Plants,Poland
Poznań University of Economics and Business (PUEB),Poland
ENSEMBLE3 Sp. z o. o,Poland
Micropress Europe,Poland
Medical University of Silesia (SUM),Poland
University of Warmia and Mazury in Olsztyn (UWM),Poland
Jan Długosz University,Poland
Centrum Onkologii KOMED,Poland
FutureSynthesis sp. z o.o.,Poland
Natura International Polska Foundation,Poland
Center of Medical Genetics GENESIS,Poland
Pedagogical University of Krakow (UP),Poland
Narodowy Instytut Onkologii,Poland
Foundry Research Institute (IOd),Poland
Institute of Biopolymers and Chemical Fibres,Poland
Packaging Research Institute (COBRO),Poland
Institute of Biopolymers and Chemical Fibres (IIMPiB),Poland
Institute of Precision Mechanics (IMP),Poland
Institute of Mechanised Construction and Rock Mining (IMBiGS),Poland
Industrial Chemistry Research Institute (ICRI),Poland
Institute of Welding,Poland
Institute of Non-Ferrous Metals in Gliwice (IMN),Poland
Institute of Ceramics and Building Materials (ICIMB),Poland
Institute of Advanced Manufacturing Technology (IOS),Poland
Stanislaw Staszic Institute for Ferrous Metallurgy (IMZ),Poland
"Institute of Heavy Organic Synthesis ""Blachownia"" (ISCO)",Poland
Institute of Leather Industry (IPS),Poland
Institute of Electrical Drives and Machines (KOMEL),Poland
New Chemical Syntheses Institute (INS),Poland
Institute of Industrial Organic Chemistry (IPO),Poland
Institute of Medical Technology and Equipment (ITAM),Poland
Institute of Organisation and Management in Industry (ORGMASZ),Poland
Poland Ministry of Economy,Poland
Tele and Radio Research Institute (ITR),Poland
Pharmaceutical Research Institute (PRI),Poland
Maksymilian Pluta Institute of Applied Optics (INOS),Poland
Industrial Institute of Agricultural Engineering (PIMR),Poland
Automotive Industry Institute (PIMOT),Poland
Institute of Innovative Technologies (EMAG),Poland
Institute for Sustainable Technologies (ITEE),Poland
Rail Vehicles Institute (TABOR),Poland
Industrial Research Institute for Automation and Measurements (PIAP),Poland
Metal Forming Institute (INOP),Poland
Institute of Electrical Engineering (IEL),Poland
Institute of Aviation,Poland
Institute of Logistics and Warehousing (ILiM),Poland
Institute of Electronic Materials Technology (ITME),Poland
Institute of Electron Technology (ITE),Poland
Wood Technology Institute (ITD),Poland
Textile Research Institute,Poland
Oculomedica Eye Research and Development Center,Poland
John Paul II Hospital,Poland
Institute of Plasma Physics and Laser Microfusion (IPPLM),Poland
Dobrostan,Poland
Central Laboratory for Radiological Protection (CLOR),Poland
National Research Institute of Mother and Child (NRIMC),Poland
Polish Society for the Protection of Birds (OTOP),Poland
National Institute of Public Health - National Institute of Hygiene (NIPH - NIH),Poland
National Medicines Institute,Poland
Foundation for Biodiversity Research,Poland
University of Physical Education in Krakow (AWF),Poland
Pomeranian Medical University (PMU),Poland
LUX MED Onkologia Sp. z o.o.,Poland
Polish State Forests,Poland
International Institute for Molecular Oncology (IIMO),Poland
Opole University of Technology (OUTech),Poland
John Paul II Catholic University of Lublin (KUL),Poland
Kraków University of Economics (UEK),Poland
Nofer Institute of Occupational Medicine (NIOM),Poland
University of Lisbon (ULISBOA),Portugal
University of Porto (UP),Portugal
New University of Lisbon (UNL),Portugal
University of Aveiro (UA),Portugal
University of Coimbra (UC),Portugal
Gulbenkian Science Institute (IGC),Portugal
University of Minho (UM),Portugal
Champalimaud Foundation,Portugal
International Iberian Nanotechnology Laboratory (INL),Portugal
Laboratory of Instrumentation and Experimental Particle Physics (LIP),Portugal
University of Beira Interior (UBI),Portugal
University of the Azores (UAç),Portugal
Instituto Português do Mar e da Atmosfera (IPMA),Portugal
University of Trás-os-Montes and Alto Douro (UTAD),Portugal
Centro Hospitalar do Porto (CH Porto),Portugal
Portuguese Oncology Institute (IPO),Portugal
University of Évora (UE),Portugal
Polytechnic Institute of Lisbon (IPL),Portugal
Hospital of St. John (CHSJ),Portugal
INESC Microsystems and Nanotechnologies (INESC MN),Portugal
ISCTE Lisbon University Institute (ISCTE-IUL),Portugal
University of Algarve (UAlg),Portugal
Institute of Molecular Medicine (IMM),Portugal
Catholic University of Portugal (UCP),Portugal
Tropical Research Institute (IICT),Portugal
Feedzai,Portugal
Hydrographic Institute (IH),Portugal
Polytechnic Institute of Leiria (IPLeiria),Portugal
Centro Hospitalar Lisboa Ocidental (CHLO),Portugal
"Portugal Telecom Inovação, S.A. (PTIn)",Portugal
ISPA - Instituto Universitário,Portugal
Instituto de Oftalmologia Dr Gama Pinto,Portugal
"Cooperativa de Ensino Superior Politécnico e Universitário (CESPU), CRL",Portugal
Displax S.A.,Portugal
Estrutura de Missão para a Extensão da Plataforma Continental (EMEPC),Portugal
"Bluepharma Indústria Farmacêutica, S.A.",Portugal
Institute of Experimental and Technological Biology (iBET),Portugal
Hospital CUF Porto,Portugal
"Eurotrials, Scientific Consultants, SA",Portugal
Hospital de Braga,Portugal
Comissão de Coordenação da Região Norte (CCDR-N),Portugal
Serviço de Utilização Comum dos Hospitais (SUCH),Portugal
Instituto Português do Sangue e da Transplantação (IPST),Portugal
Polytechnic Institute of Porto (IPP),Portugal
Centro de Reabilitação Profissional de Gaia (CRPG),Portugal
"Artur Salgado - Ortopedia, Lda.",Portugal
Centro Hospitalar de Vila Nova de Gaia/Espinho (CHVNG/E),Portugal
National Health Institute Doutor Ricardo Jorge (INSA),Portugal
Institute for Systems Engineering and Computers (INESC),Portugal
Institute for the Development of New Technologies (UNINOVA),Portugal
National Institute of Health Dr. Ricardo Jorge (INSA),Portugal
Portuguese Association for the Conservation of Grapevine Diversity (PORVID),Portugal
Biocant - Biotechnology Innovation Center,Portugal
Portugal Ministry of Health,Portugal
#NAME?,Portugal
Polytechnic Institute of Cávado and Ave (IPCA),Portugal
"Bioprospectum, Lda.",Portugal
Centre for Nanotechnology and Smart Materials (CeNTI),Portugal
Regional Government of the Azores,Portugal
Centro Hospitalar Lisboa Norte (CHULN),Portugal
Lusophone University of Humanities and Technologies (ULHT),Portugal
Magellan Biologics & Consulting,Portugal
Easy behavior,Portugal
Maternidade Dr. Alfredo da Costa,Portugal
Algarve Biomedical Center (ABC),Portugal
Hospital de São Teotónio,Portugal
Centro Hospitalar de Lisboa Central (EPE),Portugal
Polytechnic Institute of Coimbra,Portugal
Polytechnic Institute of Viseu (IPV),Portugal
Universidade Aberta,Portugal
Hamad Bin Khalifa University (HBKU),Qatar
Qatar University,Qatar
Sidra Medical and Research Center,Qatar
Hamad Medical Corporation (HMC),Qatar
Carnegie Mellon University in Qatar,Qatar
Qatar Ministry of Public Health (MOPH),Qatar
Qatar Foundation,Qatar
Qatar Science & Technology Park (QSTP),Qatar
Qatar Petroleum (QP),Qatar
Primary Health Care Corporation (PHCC),Qatar
Anti-Doping Laboratory Qatar (ADLQ),Qatar
Aspetar Hospital,Qatar
Qatar Falcon Genome Project,Qatar
University of La Réunion,Reunion
Centre Hospitalier Universitaire de La Réunion (CHU de La Réunion),Reunion
West University of Timișoara (UVT),Romania
Horia Hulubei National Institute of Physics and Nuclear Engineering (IFIN HH),Romania
Babeș-Bolyai University (UBB),Romania
University of Bucharest (UB),Romania
Romanian Academy,Romania
Institute of Space Science (ISS),Romania
National Institute of Materials Physics (NIMP),Romania
Alexandru Ioan Cuza University (UAIC),Romania
Romania Ministry of National Education,Romania
Ştefan cel Mare University of Suceava (USV),Romania
University of Oradea,Romania
Academy of Romanian Scientists (AOSR),Romania
"National Institute for Laser, Plasma and Radiation Physics (INFLPR)",Romania
University of Medicine and Pharmacy Craiova (UMF Craiova),Romania
Apollonia University,Romania
TVR Iaşi,Romania
non-affiliated author contributions,Romania
Transilvania University of Brașov (UniTBv),Romania
"Victor Babes University of Medicine and Pharmacy, Timisoara (UMFT)",Romania
Technical University of Cluj-Napoca,Romania
National Institute for Earth Physics (NIEP),Romania
Muzeul Olteniei Craiova,Romania
Dr. Victor Babeș Timișoara Infectious Diseases and Pneumophysiology Clinical Hospital,Romania
"National Institute of Infectious Diseases ""Prof. Dr. Matei Bals"" (INBIMB)",Romania
Institute of Public Health Bucharest (IPHB),Romania
Romanian research and Development Institute for Gas Turbines (COMOTI),Romania
"The Oncology Institute ""Prof. Dr. Ion Chiricuta"" (IOCN)",Romania
Spitalul Clinic de Boli Infecțioase Cluj-Napoca,Romania
Spitalul Clinic de Boli Infecţioase “Sfânta Parascheva” Iaşi,Romania
Centrul de Oncologie Sf Nectarie Craiova,Romania
Iuliu Hațieganu University of Medicine and Pharmacy (UMF Cluj),Romania
National Environmental Protection Agency (NEPA),Romania
Politehnica University of Bucharest (UPB),Romania
Romanian Institute of Science and Technology (RIST),Romania
National Institute of Research and Development for Biological Sciences (INCDSB),Romania
Spitalul Clinic Județean de Urgență Cluj-Napoca,Romania
National School of Political Science and Public Administration (SNSPA),Romania
National University of Theatre and Film I.L. Caragiale (UNATC),Romania
Bucharest University of Economic Studies,Romania
Carol Davila University of Medicine and Pharmacy (UMFCD),Romania
Alexandru Obregia Clinical Psychiatric Hospital,Romania
Center for Health Outcomes and Evaluation srl,Romania
National Institute of Legal Medicine Mina Minovici (NILM),Romania
Floreasca Hospital (SCUB),Romania
Cardio-aid,Romania
Russian Academy of Sciences (RAS),Russia
Lomonosov Moscow State University (MSU),Russia
Saint Petersburg State University (SPbU),Russia
National Research Center Kurchatov Institute (NRCKI),Russia
Moscow Institute of Physics and Technology - State University (MIPT),Russia
Skolkovo Institute of Science and Technology (Skoltech),Russia
ITMO National Research University (ITMO University),Russia
Joint Institute for Nuclear Research (JINR),Russia
National Research University Higher School of Economics (HSE),Russia
Novosibirsk State University (NSU),Russia
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia
Tomsk State University (TSU),Russia
National University of Science and Technology (MISIS),Russia
Ural Federal University (UrFU),Russia
Kazan Federal University (KFU),Russia
Tomsk Polytechnic University (TPU),Russia
Saratov State University (SGU),Russia
Southern Federal University (SFedU),Russia
Russian Quantum Center (RQC),Russia
Lobachevsky State University of Nizhni Novgorod (UNN),Russia
Tomsk State Pedagogical University (TSPU),Russia
Saint-Petersburg Electrotechnical University (LETI),Russia
I.M. Sechenov First Moscow State Medical University (FMSMU),Russia
Peoples Friendship University of Russia (PFUR),Russia
Rosatom State Atomic Energy Corporation (Rosatom),Russia
Far Eastern Federal University (FEFU),Russia
Tomsk State University of Control Systems and Radioelectronics (TUSUR),Russia
Moscow Technological University (MIREA),Russia
Bashkir State Pedagogical University (BSPU),Russia
Siberian Federal University (SibFU),Russia
Peter the Great St. Petersburg Polytechnic University (SPbPU),Russia
TYDEX LLC,Russia
P.G. Demidov Yaroslavl State University,Russia
Pirogov Russian National Research Medical University (RNRMU),Russia
Sirius University of Science and Technology,Russia
Plekhanov Russian University of Economics (PRUE),Russia
Kazan National Research Technological University (KNRTU),Russia
Gubkin Russian State University of Oil and Gas,Russia
Moscow State Pedagogical University (MSPU),Russia
Bashkir State University (BashSU),Russia
South Ural State University (SUSU),Russia
Samara State Technical University,Russia
Bauman Moscow State Technical University (BMSTU),Russia
Russian Federal Nuclear Center - All-Russian Scientific Research Institute of Experimental Physics (RFNC-VNIIEF),Russia
Platov South Russian State Polytechnic University (NPI),Russia
North-Eastern Federal University in Yakutsk (NEFU),Russia
All-Russian Scientific Research Institute of Technical Physics,Russia
Baltic State Technical University Voenmeh,Russia
Russian Federal Service for Hydrometeorology and Environmental Monitoring (Roshydromet),Russia
Ivanovo State University of Chemistry and Technology (ISUCT),Russia
"Dmitry Rogachev National Medical Research Center of Pediatric Hematology, Oncology and Immunology",Russia
Voronezh State University (VSU),Russia
Perm State University (PSU),Russia
Yandex School of Data Analysis,Russia
Privolzhsky Research Medical University,Russia
Science for Technology LLC,Russia
Yuri Gagarin State Technical University of Saratov (SSTU),Russia
Sensor Spin Technologies,Russia
National Research University of Electronic Technology (MIET),Russia
Siberian State Aerospace University,Russia
Russia Ministry of Health,Russia
D. Mendeleyev University of Chemical Technology of Russia,Russia
Irkutsk State University (ISU),Russia
Federal Medical-Biological Agency (FMBA),Russia
All-Russia Scientific Research Institute of Metrological Service (VNIIMS),Russia
Ferrite Domen Company (FDC),Russia
National Research Irkutsk State Technical University,Russia
Moscow Automobile and Road Construction State Technical University (MADI),Russia
Russian State Hydrometeorological University (RSHU),Russia
Bashkir State Medical University,Russia
"South Russian Regional Centre for Preparation and Implementation of International Projects, Limited (CPPI - S Ltd.)",Russia
N.P. Ogarev Mordovia State University,Russia
Syktyvkar State University,Russia
Gero LLC,Russia
Altai State University (ASU),Russia
Herzen State Pedagogical University of Russia,Russia
Samara National Research University,Russia
Kursk State University,Russia
Pavlov First Saint Petersburg State Medical University,Russia
Ministry of Natural Resources and Environment of the Russian Federation,Russia
Moscow Power Engineering Institute (MPEI),Russia
Dubna State University,Russia
Vladimir State University named after Alexander and Nikolay Stoletovs,Russia
Ceramics Co. Ltd.,Russia
Immanuel Kant Baltic Federal University (IKBFU),Russia
Saint-Petersburg Pasteur Institute,Russia
Samara State Medical University (SamSMU),Russia
"FSBI ""National Medical Research Center of Endocrinology""",Russia
Togliatti State University,Russia
CJSC Superconducting Nanotechnology (SCONTEL),Russia
Science and Technique Laboratory Zaryad,Russia
Samara State University of Social Sciences and Education,Russia
Novosibirsk State Technical University (NSTU),Russia
Russian Presidential Academy of National Economy and Public Administration (RANEPA),Russia
VELMAN LLC,Russia
NT-MDT LCC,Russia
St. Petersburg Research Institute of Phthisiopulmonology,Russia
Russian Research Institute of Game Management and Fur Farming,Russia
Astrakhan State Technical University (ASTU),Russia
JetBrains Research,Russia
Izhevsk State Technical University,Russia
National Medical and Surgical Center named after N.I. Pirogov,Russia
Tver State University,Russia
"NPP Radiosvyaz, AO",Russia
Salavat Industrial College,Russia
Tuvan State University (TUVSU),Russia
Kuzbass State Technical University (KuzSTU),Russia
Russian Research Center for Radiology and Surgical Technologies,Russia
BIOSOFT.RU LLC,Russia
Research Centre for Medical Genetics (RCMG),Russia
GrapheneTek LLC,Russia
Nizhny Novgorod State Technical University n.a. R.E. Alekseev (NNSTU),Russia
All Russian Scientific Research Institute of Aviation Materials (VIAM),Russia
Independent University of Moscow (IUM),Russia
Volga District Medical Center,Russia
Kemerovo State University (KemSU),Russia
Endocrinological Research Centre,Russia
AMT&C Group,Russia
SuperOx,Russia
Arctic Research Center of the Yamal-Nenets Autonomous District,Russia
Astrakhan State University,Russia
State Scientific Center of the Russian Federation - Federal Medical Biophysical Center named after A.I. Burnazyan,Russia
Murmansk State Technical University (MSTU),Russia
Knipovich Polar Research Institute of Marine Fisheries and Oceanography (PINRO),Russia
"Federal Research Center of Pediatric Hematology, Oncology and Immunology - Dmitry Rogachev",Russia
Almazov National Medical Research Centre,Russia
S. P. Botkin Clinical Infectious Diseases Hospital,Russia
V. A. Almasov Scientific Research Center,Russia
Saint-Petersburg State University of Technology and Design (SPbSUITD),Russia
non-affiliated author contributions,Russia
Buryat State University (BSU),Russia
Adyghe State University (ASU),Russia
Voronezh State University of Engineering Technologies,Russia
"Novosibirsk State University of Architecture, Design and Arts (NSUADI)",Russia
Dagestan State University (DSU),Russia
Nasledie Historical and Cultural Heritage,Russia
SRC Bioclinicum Ltd.,Russia
High-Mountain Geophysical Institute,Russia
Moscow State University of Psychology and Education (MSUPE),Russia
St. Petersburg State Marine Technical University (SMTU),Russia
Belgorod State National Research University (BelSU),Russia
Surgut State University,Russia
Samara Museum for Historical and Regional Studies named after P. V. Alabin,Russia
State Historical Museum (SHM),Russia
All-Russian Institute of Continuous Education in Forestry,Russia
FSBI ROSLESINFORG,Russia
Moscow City Clinical Hospital after V.M. Buyanov,Russia
Research Center for the Preservation of Cultural Heritage of Saratov,Russia
Chuvash State Institute of Humanities,Russia
The State Hermitage Museum,Russia
Lipetsk State Pedagogical University,Russia
Orenburg State Pedagogical University (OSPU),Russia
Samara State University of Social Sciences and Education (PSGSA),Russia
Tatarstan Academy of Sciences (TAS),Russia
Sterlitamak Museum of Local History,Russia
Ltd. Institute for Caucasus Archaeology,Russia
"Azov Museum of History, Archaeology and Palaeontology",Russia
Russian State University for the Humanities (RSUH),Russia
"Association of Parents of Disabled Children ""GAOORDI""",Russia
Biobank of North Eurasia,Russia
Moscow Department of Public Health,Russia
Balashiha Central Hospital,Russia
Moscow Research and Clinical Center for Neuropsychiatry,Russia
Kursk State Medical University (KurskSMU),Russia
University of Rwanda,Rwanda
Rwanda Ministry of Health,Rwanda
Rwanda Development Board (RDB),Rwanda
University of Global Health Equity (UGHE),Rwanda
University Teaching Hospital of Kigali (CHUK),Rwanda
Behavioral Science Foundation,Saint Kitts and Nevis
Ross University School of Veterinary Medicine (RUSVM),Saint Kitts and Nevis
Ministry of Natural Resources and Environment (MNRE),Samoa
Scientific Research Organisation of Samoa (SROS),Samoa
Samoa Ministry of Health,Samoa
Lutia i Puava Ae Mapu i Fagalele (LPAMF),Samoa
King Abdullah University of Science and Technology (KAUST),Saudi Arabia
King Abdulaziz University (KAU),Saudi Arabia
King Saud University (KSU),Saudi Arabia
King Fahd University of Petroleum and Minerals (KFUPM),Saudi Arabia
Saudi Basic Industries Corporation (SABIC),Saudi Arabia
Saudi Aramco,Saudi Arabia
King Abdulaziz City for Science and Technology (KACST),Saudi Arabia
Imam Abdulrahman Bin Faisal University (IAU),Saudi Arabia
King Khalid University (KKU),Saudi Arabia
King Faisal University (KFU),Saudi Arabia
University of Jeddah,Saudi Arabia
Najran University,Saudi Arabia
Taibah University,Saudi Arabia
Umm Al-Qura University,Saudi Arabia
King Faisal Specialist Hospital and Research Centre (KFSH&RC),Saudi Arabia
Taif University,Saudi Arabia
Saudi Arabia Ministry of National Guard Health Affairs (MNG-HA),Saudi Arabia
Islamic University of Madinah,Saudi Arabia
King Fahad Medical City (KFMC),Saudi Arabia
Princess Nourah bint Abdulrahman University (PNU),Saudi Arabia
Jazan University,Saudi Arabia
Majmaah University (MU),Saudi Arabia
Saudi Geological Survey (SGS),Saudi Arabia
University of Tabuk (UT),Saudi Arabia
Dr. Sulaiman Al-Habib Medical Group (HMG),Saudi Arabia
King Abdullah Petroleum Studies and Research Center (KAPSARC),Saudi Arabia
Prince Sattam bin Abdulaziz University (PSAU),Saudi Arabia
Alfaisal University,Saudi Arabia
Imam Muhammad ibn Saud Islamic University,Saudi Arabia
Qassim University (QU),Saudi Arabia
Al-Noor Specialist Hospital,Saudi Arabia
