Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
Karlsruhe University of Applied Sciences,Karlsruhe University of Applied Sciences,,Germany
KWS SAAT SE,KWS SAAT SE,,Germany
Cube Biotech GmbH,Cube Biotech GmbH,,Germany
MicroDiscovery GmbH,MicroDiscovery GmbH,,Germany
Innovative Molecules GmbH,Innovative Molecules GmbH,,Germany
PHYTOsolution,PHYTOsolution,,Germany
IKA-Werke GmbH & CO. KG,IKA-Werke GmbH & CO. KG,,Germany
EASYTEC GmbH,EASYTEC GmbH,,Germany
Wintershall Dea GmbH,Wintershall Dea GmbH,,Germany
Fresenius SE & Co. KGaA,Fresenius SE & Co. KGaA,,Germany
Analytik Jena AG,Analytik Jena AG,,Germany
Alere Technologies GmbH,Alere Technologies GmbH,,Germany
Scienion AG,Scienion AG,,Germany
Aristra GmbH,Aristra GmbH,,Germany
glyXera GmbH,glyXera GmbH,,Germany
Koblenz University of Applied Sciences,Koblenz University of Applied Sciences,,Germany
Fokus Natur,Fokus Natur,,Germany
Spectral Service AG,Spectral Service AG,,Germany
Axolabs GmbH,Axolabs GmbH,,Germany
POPs Environmental Consulting,POPs Environmental Consulting,,Germany
Dewpoint Therapeutics GmbH,Dewpoint Therapeutics GmbH,,Germany
CAPNETZ Stiftung,CAPNETZ Stiftung,,Germany
Otto Bock Holding GmbH & Co. KG,Otto Bock Holding GmbH & Co. KG,,Germany
Helmut Schmidt University,Helmut Schmidt University,,Germany
Deutsche Post Foundation,Deutsche Post Foundation,,Germany
University of Applied Sciences Bremerhaven,University of Applied Sciences Bremerhaven,,Germany
Miprolab - Mikrobiologische Diagnostik GmbH,Miprolab - Mikrobiologische Diagnostik GmbH,,Germany
OmicEra Diagnostics GmbH,OmicEra Diagnostics GmbH,,Germany
Centogene AG,Centogene AG,,Germany
Carbon Minds GmbH,Carbon Minds GmbH,,Germany
GlycoUniverse Holding GmbH,GlycoUniverse Holding GmbH,,Germany
Flensburg University of Applied Sciences,Flensburg University of Applied Sciences,,Germany
MINJIE Analytical Laboratory e.K.,MINJIE Analytical Laboratory e.K.,,Germany
Singulus Technologies AG,Singulus Technologies AG,,Germany
Lanxess AG,Lanxess AG,,Germany
Glassomer GmbH,Glassomer GmbH,,Germany
8sens.biognostic GmbH,8sens.biognostic GmbH,,Germany
Kipu Quantum GmbH,Kipu Quantum GmbH,,Germany
Photonion GmbH,Photonion GmbH,,Germany
Sirion-Biotech GmbH,Sirion-Biotech GmbH,,Germany
Ella Biotech GmbH,Ella Biotech GmbH,,Germany
APE Angewandte Physik und Elektronik GmbH,APE Angewandte Physik und Elektronik GmbH,,Germany
LABOKLIN GMBH & CO.KG,LABOKLIN GMBH & CO.KG,,Germany
Physical Electronics GmbH,Physical Electronics GmbH,,Germany
Neaspec GmbH,Neaspec GmbH,,Germany
Codeshare Software GmbH,Codeshare Software GmbH,,Germany
Saarland Cancer Registry,Saarland Cancer Registry,,Germany
Breitmeier Messtechnik GmbH,Breitmeier Messtechnik GmbH,,Germany
Fertility Center Berlin,Fertility Center Berlin,,Germany
Kinderwunschzentrum Göttingen,Kinderwunschzentrum Göttingen,,Germany
S-PACT GmbH,S-PACT GmbH,,Germany
BRAIN Biotech AG,BRAIN Biotech AG,,Germany
Biolog Life Science Institute,Biolog Life Science Institute,,Germany
NPI Electronic GmbH,NPI Electronic GmbH,,Germany
SAP AG,SAP AG,,Germany
Heidelberger Druckmaschinen AG,Heidelberger Druckmaschinen AG,,Germany
Eisbach Bio GmbH,Eisbach Bio GmbH,,Germany
Hospital Brothers of Mercy Regensburg,Hospital Brothers of Mercy Regensburg,,Germany
d-fine GmbH,d-fine GmbH,,Germany
Münster University of Applied Sciences,Münster University of Applied Sciences,,Germany
CellTrend GmbH,CellTrend GmbH,,Germany
Biobyte Solutions GmbH,Biobyte Solutions GmbH,,Germany
Reutlingen University,Reutlingen University,,Germany
Krankenhaus Nordwest GmbH,Krankenhaus Nordwest GmbH,,Germany
ProxiVision GmbH,ProxiVision GmbH,,Germany
SRH Wald-Klinikum Gera,SRH Wald-Klinikum Gera,,Germany
Becker & Hickl GmbH,Becker & Hickl GmbH,,Germany
HyperSpecs.de,HyperSpecs.de,,Germany
Micromod Partikeltechnologie GmbH,Micromod Partikeltechnologie GmbH,,Germany
Meteorite Laboratory,Meteorite Laboratory,,Germany
Consulting-Geo,Consulting-Geo,,Germany
Accurion GmbH,Accurion GmbH,,Germany
Xylem Services GmbH,Xylem Services GmbH,,Germany
Heidelberg Instruments Mikrotechnik GmbH,Heidelberg Instruments Mikrotechnik GmbH,,Germany
"Geyser-Center, Andernach","Geyser-Center, Andernach",,Germany
Lumobiotics GmbH,Lumobiotics GmbH,,Germany
ZB Zimmermann und Becker GmbH,ZB Zimmermann und Becker GmbH,,Germany
Dietmar Hopp Stiftung gGmbH,Dietmar Hopp Stiftung gGmbH,,Germany
geneXplain GmbH,geneXplain GmbH,,Germany
AIM – Advanced Identification Methods GmbH,AIM – Advanced Identification Methods GmbH,,Germany
München Klinik,München Klinik,,Germany
JPK Instruments AG,JPK Instruments AG,,Germany
Augen-Zentrum-Nordwest,Augen-Zentrum-Nordwest,,Germany
University of Hagen,University of Hagen,,Germany
PROvendis GmbH,PROvendis GmbH,,Germany
Signatope GmbH,Signatope GmbH,,Germany
ALS Voice gGmbH,ALS Voice gGmbH,,Germany
Secobra Saatzucht GmbH,Secobra Saatzucht GmbH,,Germany
Raith GmbH,Raith GmbH,,Germany
WITec GmbH,WITec GmbH,,Germany
Climate Risk Analysis,Climate Risk Analysis,,Germany
Berchtesgaden National Park,Berchtesgaden National Park,,Germany
Neurologie am Leipziger Platz,Neurologie am Leipziger Platz,,Germany
Sumaya Biotech GmbH & Co. KG,Sumaya Biotech GmbH & Co. KG,,Germany
Dessau Medical Center,Dessau Medical Center,,Germany
UP Transfer GmbH,UP Transfer GmbH,,Germany
St. Marien Amberg Hospital,St. Marien Amberg Hospital,,Germany
Riboxx GmbH,Riboxx GmbH,,Germany
Neanderthal Museum,Neanderthal Museum,,Germany
Magdeburg-Stendal University of Applied Sciences,Magdeburg-Stendal University of Applied Sciences,,Germany
Miltenyi Biotec GmbH,Miltenyi Biotec GmbH,,Germany
EvoLogics GmbH,EvoLogics GmbH,,Germany
State Government of North Rhine Westphalia,State Government of North Rhine Westphalia,,Germany
Kliniken der Stadt Köln gGmbH,Kliniken der Stadt Köln gGmbH,,Germany
Sozialstiftung Bamberg,Sozialstiftung Bamberg,,Germany
Senckenberg am Meer,Senckenberg am Meer,,Germany
"Hessian Agency for Nature Conservation, Environment and Geology","Hessian Agency for Nature Conservation, Environment and Geology",,Germany
ISC Konstanz e.V.,ISC Konstanz e.V.,,Germany
Auf der Bult Centre for Children and Adolescents,Auf der Bult Centre for Children and Adolescents,,Germany
Infineon Technologies AG,Infineon Technologies AG,,Germany
BioMed X GmbH,BioMed X GmbH,,Germany
7TM Antibodies GmbH,7TM Antibodies GmbH,,Germany
2bind GmbH,2bind GmbH,,Germany
Institute of Clinical Genetics Bonn,Institute of Clinical Genetics Bonn,,Germany
University Hospital Augsburg,University Hospital Augsburg,,Germany
Byte Physics,Byte Physics,,Germany
Benedikt Kreutz Rehabilitationszentrum Bad Krozingen e.V.,Benedikt Kreutz Rehabilitationszentrum Bad Krozingen e.V.,,Germany
Surface Concept GmbH,Surface Concept GmbH,,Germany
Klinikum Oldenburg,Klinikum Oldenburg,,Germany
evocenta GmbH,evocenta GmbH,,Germany
Wuppertal Zoo,Wuppertal Zoo,,Germany
Ramboll Deutschland GmbH,Ramboll Deutschland GmbH,,Germany
Tierpark Berlin-Friedrichsfelde GmbH,Tierpark Berlin-Friedrichsfelde GmbH,,Germany
Krankenhaus Mara,Krankenhaus Mara,,Germany
stimOS GmbH,stimOS GmbH,,Germany
Vogelpark Marlow,Vogelpark Marlow,,Germany
Microworks GmbH,Microworks GmbH,,Germany
Hof University of Applied Sciences,Hof University of Applied Sciences,,Germany
Bavarian Forest National Park,Bavarian Forest National Park,,Germany
Anhalt University of Applied Sciences,Anhalt University of Applied Sciences,,Germany
Reiss Engelhorn Museum,Reiss Engelhorn Museum,,Germany
Heliatek GmbH,Heliatek GmbH,,Germany
State Natural History Museum in Braunschweig,State Natural History Museum in Braunschweig,,Germany
Wadden Sea National Park of Schleswig-Holstein,Wadden Sea National Park of Schleswig-Holstein,,Germany
NanoTemper Technologies GmbH,NanoTemper Technologies GmbH,,Germany
Tropenklinik Paul-Lechler-Krankenhaus,Tropenklinik Paul-Lechler-Krankenhaus,,Germany
LungenClinic Grosshansdorf,LungenClinic Grosshansdorf,,Germany
schnaiTEC GmbH,schnaiTEC GmbH,,Germany
EMBL Sites,EMBL Sites,,Germany
BioSolutions Halle GmbH,BioSolutions Halle GmbH,,Germany
Praxis für Humangenetik Tübingen,Praxis für Humangenetik Tübingen,,Germany
Northwest German Forest Research Institute,Northwest German Forest Research Institute,,Germany
Competence Network for Congenital Heart Defects,Competence Network for Congenital Heart Defects,,Germany
MVZ Diaverum Neubrandenburg,MVZ Diaverum Neubrandenburg,,Germany
Nuvisan ICB GmbH,Nuvisan ICB GmbH,,Germany
BMS-Umweltplanung,BMS-Umweltplanung,,Germany
University of Applied Sciences Emden/Leer,University of Applied Sciences Emden/Leer,,Germany
Berlin Partner für Wirtschaft und Technologie GmbH,Berlin Partner für Wirtschaft und Technologie GmbH,,Germany
Klinikum Stuttgart,Klinikum Stuttgart,,Germany
Saatzucht Bauer GmbH & Co. KG,Saatzucht Bauer GmbH & Co. KG,,Germany
Saatzucht Josef Breun GmbH & Co. KG,Saatzucht Josef Breun GmbH & Co. KG,,Germany
Klinikum Landshut,Klinikum Landshut,,Germany
Städtisches Klinikum Karlsruhe gGmbH,Städtisches Klinikum Karlsruhe gGmbH,,Germany
W. von Borries-Eckendorf GmbH & Co. KG,W. von Borries-Eckendorf GmbH & Co. KG,,Germany
Nordsaat Saatzucht GmbH,Nordsaat Saatzucht GmbH,,Germany
Brose Fahrzeugteile GmbH & Co. KG,Brose Fahrzeugteile GmbH & Co. KG,,Germany
Allianz SE,Allianz SE,,Germany
Life & Brain GmbH,Life & Brain GmbH,,Germany
Hochschule Geisenheim University,Hochschule Geisenheim University,,Germany
OHB System AG,OHB System AG,,Germany
SYNLAB International GmbH,SYNLAB International GmbH,,Germany
Alexianer St. Hedwig Krankenhaus,Alexianer St. Hedwig Krankenhaus,,Germany
Klinikum Passau,Klinikum Passau,,Germany
CELLphenomics GmbH,CELLphenomics GmbH,,Germany
BioChem agrar GmbH,BioChem agrar GmbH,,Germany
Hospital Cottbus,Hospital Cottbus,,Germany
St. Marien-Hospital Hamm,St. Marien-Hospital Hamm,,Germany
Vinzenz von Paul Kliniken,Vinzenz von Paul Kliniken,,Germany
Regio Klinikum Elmshorn,Regio Klinikum Elmshorn,,Germany
LifeGlimmer GmbH,LifeGlimmer GmbH,,Germany
Abberior Instruments GmbH,Abberior Instruments GmbH,,Germany
Praxis für Humangenetik Erfurt,Praxis für Humangenetik Erfurt,,Germany
Contilia GmbH,Contilia GmbH,,Germany
Praxis und Tagesklinik,Praxis und Tagesklinik,,Germany
Krankenhaus Waldfriede,Krankenhaus Waldfriede,,Germany
Praxis für Humangenetik Bremen,Praxis für Humangenetik Bremen,,Germany
Monasterium Laboratory Skin and Hair Research Solutions GmbH,Monasterium Laboratory Skin and Hair Research Solutions GmbH,,Germany
RAPID Biomedical GmbH,RAPID Biomedical GmbH,,Germany
University of Applied Sciences Worms,University of Applied Sciences Worms,,Germany
Paracelsus-Elena Hospital,Paracelsus-Elena Hospital,,Germany
Medical Park AG,Medical Park AG,,Germany
Labor Dr. Krause und Kollegen MVZ GmbH,Labor Dr. Krause und Kollegen MVZ GmbH,,Germany
Institute of Sleep and Dream Technologies,Institute of Sleep and Dream Technologies,,Germany
Stiftung Umwelt- und Naturschutz MV,Stiftung Umwelt- und Naturschutz MV,,Germany
Landkreis Vorpommern-Greifswald,Landkreis Vorpommern-Greifswald,,Germany
Praxis Dr Patric SCHÖN,Praxis Dr Patric SCHÖN,,Germany
BNL Vegelin,BNL Vegelin,,Germany
Regional administration Havelland,Regional administration Havelland,,Germany
CeGaT GmbH,CeGaT GmbH,,Germany
BG Clinic Ludwigshafen,BG Clinic Ludwigshafen,,Germany
GeneWerk GmbH,GeneWerk GmbH,,Germany
XPLORAYTION GmbH,XPLORAYTION GmbH,,Germany
Henkel AG & Co. KGaA,Henkel AG & Co. KGaA,,Germany
boden & grundwasser Allgäu GmbH,boden & grundwasser Allgäu GmbH,,Germany
Schlosspark-Klinik,Schlosspark-Klinik,,Germany
Large Space Structures GmbH,Large Space Structures GmbH,,Germany
Stuttgart Regional Council,Stuttgart Regional Council,,Germany
Diakonie Kork,Diakonie Kork,,Germany
Trier University,Trier University,,Germany
HörTech gGmbH - Kompetenzzentrum für Hörgeräte-Systemtechnik,HörTech gGmbH - Kompetenzzentrum für Hörgeräte-Systemtechnik,,Germany
Hörzentrum Oldenburg GmbH,Hörzentrum Oldenburg GmbH,,Germany
Malteser Krankenhaus St. Franziskus-Hospital,Malteser Krankenhaus St. Franziskus-Hospital,,Germany
Institut für Pathologie Kaufbeuren-Ravensburg,Institut für Pathologie Kaufbeuren-Ravensburg,,Germany
IDEXX Laboratories,IDEXX Laboratories,,Germany
MVZ Humane Genetik,MVZ Humane Genetik,,Germany
MVZ am Klinikum Konstanz,MVZ am Klinikum Konstanz,,Germany
Helios Kliniken Kassel,Helios Kliniken Kassel,,Germany
Ludwig-Noll-Krankenhaus,Ludwig-Noll-Krankenhaus,,Germany
Dritter Orden Clinic,Dritter Orden Clinic,,Germany
Comma Soft AG,Comma Soft AG,,Germany
Gastroenterologische Schwerpunktpraxis,Gastroenterologische Schwerpunktpraxis,,Germany
Diamond Materials GmbH,Diamond Materials GmbH,,Germany
Brandenburg State Forestry Center of Excellence,Brandenburg State Forestry Center of Excellence,,Germany
Caritasverband für die Diözese Regensburg e. V.,Caritasverband für die Diözese Regensburg e. V.,,Germany
Bremen University of Applied Sciences,Bremen University of Applied Sciences,,Germany
Berlin State Museums,Berlin State Museums,,Germany
Meisterschule Ebern für das Schreinerhandwerk,Meisterschule Ebern für das Schreinerhandwerk,,Germany
aimed analytics,aimed analytics,,Germany
St. Joseph Krankenhaus,St. Joseph Krankenhaus,,Germany
Praxis für Humangenetik - Berlin-Mitte,Praxis für Humangenetik - Berlin-Mitte,,Germany
Labor Dr. Wisplinghoff,Labor Dr. Wisplinghoff,,Germany
"Verband Biologie, Biowissenschaften und Biomedizin - VBIO e.V.","Verband Biologie, Biowissenschaften und Biomedizin - VBIO e.V.",,Germany
Israelitisches Krankenhaus in Hamburg,Israelitisches Krankenhaus in Hamburg,,Germany
Krankenhaus Vilsbiburg,Krankenhaus Vilsbiburg,,Germany
ECT Oekotoxikologie GmbH,ECT Oekotoxikologie GmbH,,Germany
Fulda University of Applied Sciences,Fulda University of Applied Sciences,,Germany
WGS Workgroup Solutions GmbH,WGS Workgroup Solutions GmbH,,Germany
University of Bamberg,University of Bamberg,,Germany
State Office for Cultural Heritage Management Baden-Wuerttemberg,State Office for Cultural Heritage Management Baden-Wuerttemberg,,Germany
Zentrum für Humangenetik Regensburg,Zentrum für Humangenetik Regensburg,,Germany
neoplas med GmbH,neoplas med GmbH,,Germany
Biophotonics Diagnostics GmbH,Biophotonics Diagnostics GmbH,,Germany
WHU - Otto Beisheim School of Management,WHU - Otto Beisheim School of Management,,Germany
VITROCELL Systems GmbH,VITROCELL Systems GmbH,,Germany
Decodon GmbH,Decodon GmbH,,Germany
University of Hildesheim,University of Hildesheim,,Germany
Ansbach University of Applied Sciences,Ansbach University of Applied Sciences,,Germany
Frankfurt University of Applied Sciences,Frankfurt University of Applied Sciences,,Germany
Petanux GmbH,Petanux GmbH,,Germany
KfH Kuratorium für Dialyse und Nierentransplantation e.V.,KfH Kuratorium für Dialyse und Nierentransplantation e.V.,,Germany
Kliniken Südostbayern AG,Kliniken Südostbayern AG,,Germany
University of Ghana,University of Ghana,,Ghana
CSIR Water Research Institute,CSIR Water Research Institute,,Ghana
INDEPTH Network Secretariat,INDEPTH Network Secretariat,,Ghana
Lister Hospital and Fertility Centre,Lister Hospital and Fertility Centre,,Ghana
Korle Bu Teaching Hospital,Korle Bu Teaching Hospital,,Ghana
Peace and Love Hospital,Peace and Love Hospital,,Ghana
Forestry Commission of Ghana,Forestry Commission of Ghana,,Ghana
University of Environment and Sustainable Development,University of Environment and Sustainable Development,,Ghana
University of Patras,University of Patras,,Greece
Academy of Athens,Academy of Athens,,Greece
University of the Aegean,University of the Aegean,,Greece
Sotiria Chest Diseases Hospital of Athens,Sotiria Chest Diseases Hospital of Athens,,Greece
Agricultural University of Athens,Agricultural University of Athens,,Greece
E3-Modelling,E3-Modelling,,Greece
Amyndas Pharmaceuticals S.A.,Amyndas Pharmaceuticals S.A.,,Greece
Hellenic Ministry of Culture and Sports,Hellenic Ministry of Culture and Sports,,Greece
Hellenic Space Center,Hellenic Space Center,,Greece
Anogia Medical Centre,Anogia Medical Centre,,Greece
Echinos Medical Centre,Echinos Medical Centre,,Greece
Hellenic Military Academy,Hellenic Military Academy,,Greece
Hellenic Ornithological Society,Hellenic Ornithological Society,,Greece
Evangelismos Hospital,Evangelismos Hospital,,Greece
HybridStat Predictive Analytics O.E.,HybridStat Predictive Analytics O.E.,,Greece
Agia Sofia Children's Hospital,Agia Sofia Children's Hospital,,Greece
IASO Children's Hospital,IASO Children's Hospital,,Greece
General University Hospital of Larissa,General University Hospital of Larissa,,Greece
Thriasio General Hospital of Elefsina,Thriasio General Hospital of Elefsina,,Greece
Tzaneio General Hospital of Piraeus,Tzaneio General Hospital of Piraeus,,Greece
Elpis General Hospital of Athens,Elpis General Hospital of Athens,,Greece
Korgialeneion-Benakeion General Hospital,Korgialeneion-Benakeion General Hospital,,Greece
ELPEN Pharmaceutical Co. Inc.,ELPEN Pharmaceutical Co. Inc.,,Greece
Konstantopoulio General Hospital,Konstantopoulio General Hospital,,Greece
Papageorgiou Hospital,Papageorgiou Hospital,,Greece
Corfu General Clinic,Corfu General Clinic,,Greece
Asklipieio Voulas Hospital,Asklipieio Voulas Hospital,,Greece
G. Gennimatas General Hospital,G. Gennimatas General Hospital,,Greece
Dromokaiteio Psychiatric Hospital of Athens,Dromokaiteio Psychiatric Hospital of Athens,,Greece
KAT Attica General Hospital,KAT Attica General Hospital,,Greece
University of Greenland,University of Greenland,,Greenland
Autoridad para el Manejo Sustentable de la Cuenca y del Lago Amatitlán,Autoridad para el Manejo Sustentable de la Cuenca y del Lago Amatitlán,,Guatemala
Hôpital Régional de Nzérékoré,Hôpital Régional de Nzérékoré,,Guinea
Guinea Ministry of Health and Public Hygiene,Guinea Ministry of Health and Public Hygiene,,Guinea
Agence Nationale de Sécurité Sanitaire-ANSS GUINEE,Agence Nationale de Sécurité Sanitaire-ANSS GUINEE,,Guinea
University of Guyana,University of Guyana,,Guyana
"Christianville Foundation, Inc.","Christianville Foundation, Inc.",,Haiti
Hôpital Universitaire de Mirebalais,Hôpital Universitaire de Mirebalais,,Haiti
University of Debrecen,University of Debrecen,,Hungary
University of Pannonia,University of Pannonia,,Hungary
ELI-HU Nonprofit Ltd.,ELI-HU Nonprofit Ltd.,,Hungary
WESSLING Hungary Ltd.,WESSLING Hungary Ltd.,,Hungary
National Korányi Institute for Pulmonology,National Korányi Institute for Pulmonology,,Hungary
County Hospital of Torokbalint,County Hospital of Torokbalint,,Hungary
AstridBio Technologies Inc.,AstridBio Technologies Inc.,,Hungary
"Medical Centre, Hungarian Defence Forces","Medical Centre, Hungarian Defence Forces",,Hungary
University of Nyíregyháza,University of Nyíregyháza,,Hungary
Biospiral-2006 Ltd.,Biospiral-2006 Ltd.,,Hungary
Corvinus University of Budapest,Corvinus University of Budapest,,Hungary
DMRV Duna Menti Regionális Vízmű Zrt.,DMRV Duna Menti Regionális Vízmű Zrt.,,Hungary
University of Miskolc,University of Miskolc,,Hungary
Semilab Inc.,Semilab Inc.,,Hungary
Gene Design Ltd.,Gene Design Ltd.,,Hungary
Aperus Pharma Co. Ltd.,Aperus Pharma Co. Ltd.,,Hungary
Péterfy Hospital,Péterfy Hospital,,Hungary
Ferencváros Health Center,Ferencváros Health Center,,Hungary
Óbuda University,Óbuda University,,Hungary
Szent György Hospital,Szent György Hospital,,Hungary
Proteoscientia Kutatási és Fejlesztési Kft,Proteoscientia Kutatási és Fejlesztési Kft,,Hungary
ThalesNano Inc.,ThalesNano Inc.,,Hungary
Miskolc Semmelweis Hospital and University Hospital,Miskolc Semmelweis Hospital and University Hospital,,Hungary
Heim Pal Childrens Hospital,Heim Pal Childrens Hospital,,Hungary
Auro-Science Consulting Kft,Auro-Science Consulting Kft,,Hungary
Single-Cell Technologies Ltd.,Single-Cell Technologies Ltd.,,Hungary
University of Sopron,University of Sopron,,Hungary
"Ásatárs Kulturális, Régészeti Szolgáltató és Kereskedelmi Limited","Ásatárs Kulturális, Régészeti Szolgáltató és Kereskedelmi Limited",,Hungary
Rippl-Rónai Museum,Rippl-Rónai Museum,,Hungary
Rómer Flóris Museum of Art and History,Rómer Flóris Museum of Art and History,,Hungary
Jósa András Museum,Jósa András Museum,,Hungary
Kuny Domokos Museum,Kuny Domokos Museum,,Hungary
István Dobó Castle Museum,István Dobó Castle Museum,,Hungary
Savaria Múzeum,Savaria Múzeum,,Hungary
Damjanich János Múzeum,Damjanich János Múzeum,,Hungary
Wosinsky Mór County Museum,Wosinsky Mór County Museum,,Hungary
University of Iceland,University of Iceland,,Iceland
Ministry for the Environment and Natural Resources,Ministry for the Environment and Natural Resources,,Iceland
Icelandic Institute of Natural History,Icelandic Institute of Natural History,,Iceland
Directorate of Health,Directorate of Health,,Iceland
Reykjavik University,Reykjavik University,,Iceland
Innovation Center Iceland,Innovation Center Iceland,,Iceland
The Environment Agency of Iceland,The Environment Agency of Iceland,,Iceland
The Blood Bank,The Blood Bank,,Iceland
Læknasetrið,Læknasetrið,,Iceland
Primary Health Care of the Capital Area,Primary Health Care of the Capital Area,,Iceland
Akureyri Hospital,Akureyri Hospital,,Iceland
Landsvirkjun,Landsvirkjun,,Iceland
Reykjavík Energy,Reykjavík Energy,,Iceland
Hitaveita Suðurnesja,Hitaveita Suðurnesja,,Iceland
National Museum of Iceland,National Museum of Iceland,,Iceland
Heilsuklasinn,Heilsuklasinn,,Iceland
India Ministry of Science and Technology,India Ministry of Science and Technology,,India
UGC-DAE Consortium for Scientific Research,UGC-DAE Consortium for Scientific Research,,India
Visva-Bharati University,Visva-Bharati University,,India
SRM Institute of Science and Technology,SRM Institute of Science and Technology,,India
Tezpur University,Tezpur University,,India
University of Burdwan,University of Burdwan,,India
Pondicherry University,Pondicherry University,,India
Gandhigram Rural Institute,Gandhigram Rural Institute,,India
University of Kalyani,University of Kalyani,,India
Amity University,Amity University,,India
University of Madras,University of Madras,,India
"SRM University, Andhra Pradesh","SRM University, Andhra Pradesh",,India
GLA University,GLA University,,India
Sikkim University,Sikkim University,,India
Ashoka University,Ashoka University,,India
Thapar Institute of Engineering and Technology,Thapar Institute of Engineering and Technology,,India
Cotton University,Cotton University,,India
Ramakrishna Mission Vivekananda University,Ramakrishna Mission Vivekananda University,,India
Bose Institute,Bose Institute,,India
Government General Degree College,Government General Degree College,,India
University of Kashmir,University of Kashmir,,India
Aliah University,Aliah University,,India
Sir Parashurambhau College,Sir Parashurambhau College,,India
JIS University,JIS University,,India
University of Rajasthan,University of Rajasthan,,India
Chandernagore College,Chandernagore College,,India
Azim Premji University,Azim Premji University,,India
Andhra University,Andhra University,,India
Sarat Centenary College,Sarat Centenary College,,India
Gujarat University,Gujarat University,,India
Vidyasagar University,Vidyasagar University,,India
Presidency University,Presidency University,,India
Tata Group,Tata Group,,India
Wildlife Institute of India,Wildlife Institute of India,,India
Alagappa University,Alagappa University,,India
SASTRA University,SASTRA University,,India
Gauhati University,Gauhati University,,India
Handique Girls' College,Handique Girls' College,,India
Bangalore University,Bangalore University,,India
Hooghly Mohsin College,Hooghly Mohsin College,,India
Mizoram University,Mizoram University,,India
Dr. Reddy's Laboratories Ltd.,Dr. Reddy's Laboratories Ltd.,,India
Punjabi University,Punjabi University,,India
Jamia Hamdard,Jamia Hamdard,,India
Goa University,Goa University,,India
Doon University,Doon University,,India
University of Calicut,University of Calicut,,India
Imgenex India Pvt.Ltd.,Imgenex India Pvt.Ltd.,,India
Y.R.G. CARE,Y.R.G. CARE,,India
St. Anthony’s College,St. Anthony’s College,,India
St. Joseph's College,St. Joseph's College,,India
Telangana State Pollution Control Board,Telangana State Pollution Control Board,,India
Sathyabama Institute of Science and Technology,Sathyabama Institute of Science and Technology,,India
Ramananda Centenary College,Ramananda Centenary College,,India
"United College of Engineering and Research, Greater Noida","United College of Engineering and Research, Greater Noida",,India
Mahatma Gandhi Kashi Vidyapith,Mahatma Gandhi Kashi Vidyapith,,India
Indus University,Indus University,,India
Jalpaiguri Government Engineering College,Jalpaiguri Government Engineering College,,India
"Government General Degree College, Kharagpur-II","Government General Degree College, Kharagpur-II",,India
Kazi Nazrul University,Kazi Nazrul University,,India
University of Jammu,University of Jammu,,India
Centre for Nano and Soft Matter Sciences,Centre for Nano and Soft Matter Sciences,,India
Bennett University,Bennett University,,India
Guru Jambheshwar University of Science and Technology,Guru Jambheshwar University of Science and Technology,,India
Manipur University,Manipur University,,India
Anthem Biosciences Private Limited,Anthem Biosciences Private Limited,,India
University of Mumbai,University of Mumbai,,India
Bugworks Research India Pvt. Ltd.,Bugworks Research India Pvt. Ltd.,,India
Bangabasi Morning College,Bangabasi Morning College,,India
St. Xavier’s College,St. Xavier’s College,,India
Chandigarh University,Chandigarh University,,India
"Government College, Kariavattom","Government College, Kariavattom",,India
Assam Don Bosco University,Assam Don Bosco University,,India
Kharagpur College,Kharagpur College,,India
NITTE University,NITTE University,,India
Tata Trusts,Tata Trusts,,India
St. John's National Academy of Health Sciences,St. John's National Academy of Health Sciences,,India
Darjeeling Government College,Darjeeling Government College,,India
Banasthali University,Banasthali University,,India
India Ministry of Health and Family Welfare,India Ministry of Health and Family Welfare,,India
Government of Andhra Pradesh,Government of Andhra Pradesh,,India
Akashmitra Mandal,Akashmitra Mandal,,India
Aurigene Discovery Technologies Limited,Aurigene Discovery Technologies Limited,,India
Kasturba Hospital,Kasturba Hospital,,India
University of Lucknow,University of Lucknow,,India
Patna University,Patna University,,India
Raghunathpur College,Raghunathpur College,,India
Shivaji University,Shivaji University,,India
Magadh University,Magadh University,,India
Mahavir Cancer Sansthan and Research Centre,Mahavir Cancer Sansthan and Research Centre,,India
PSG and Sons Charities Trust,PSG and Sons Charities Trust,,India
Indian Forest Service,Indian Forest Service,,India
TCG CREST,TCG CREST,,India
Utkal University,Utkal University,,India
St. Stephen's College,St. Stephen's College,,India
PhiXgen Pvt. Ltd.,PhiXgen Pvt. Ltd.,,India
SAI Life Sciences Ltd.,SAI Life Sciences Ltd.,,India
Sun Pharmaceutical Industries Ltd.,Sun Pharmaceutical Industries Ltd.,,India
Tripura University,Tripura University,,India
Government Degree College Tangmarg,Government Degree College Tangmarg,,India
National Institute of Hydrology Roorkee,National Institute of Hydrology Roorkee,,India
Kerala Forest Department,Kerala Forest Department,,India
Aaranyak,Aaranyak,,India
Deen Dayal Upadhyay Gorakhpur University,Deen Dayal Upadhyay Gorakhpur University,,India
Uttar Pradesh Department of Medical Health and Family Welfare,Uttar Pradesh Department of Medical Health and Family Welfare,,India
Mahindra Group,Mahindra Group,,India
ONEOMICS Pvt. Ltd.,ONEOMICS Pvt. Ltd.,,India
Vignan University,Vignan University,,India
Krea University,Krea University,,India
Center for Public Health Kinetics,Center for Public Health Kinetics,,India
